image,question
test_0733,Does this image show normal appendix?
test_0156,Does the free surface and margin of the mitral valve show tiny firm granular vegetations?
test_0505,"Does this image show intestine, volvulus?"
test_0160,Is diffuse hyperplasia of the adrenal gland contrasted with a normal adrenal gland?
test_0136,Are the nuclei predominantly seen in lymph nodes and throughout lung parenchyma?
test_0990,Is eye present?
test_0965,Does this image show coronary artery atherosclerosis?
test_0754,Does meningioma show ring form?
test_0960,"Does this image show prostate, benign prostatic hyperplasia?"
test_0590,Is female reproductive present?
test_0528,Is lymph node present?
test_0300,"Do only a few areas of pale squamous mucosa remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?"
test_0687,Does cortical nodule show tail of pancreas with spleens?
test_0281,Are many thick-walled dilated cavities with cartilaginous wall seen?
test_0128,"Does ctive granulation tissue have inflammatory cell infiltrate, newly formed blood vessels and young fibrous tissue in loose matrix?"
test_0472,Is thecoma present?
test_0246,Is there penetration of epithelium-lined spaces into the gallbladder wall in an area?
test_0967,"Does lateral view show vasculitis, polyarteritis nodosa?"
test_0100,Is a pacemaker presented incidentally in the right ventricle?
test_0571,Is endocrine present?
test_0684,Is traumatic rupture present?
test_0214,Is the affected area on right clear-cut?
test_0389,Is cleft palate present?
test_0245,Is a liver composed of sheets of small round cells with small amounts of clear cytoplasm?
test_0602,Does this image show gravid uterus?
test_0295,Is the wall of the aneurysm a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?
test_0699,Is sets present?
test_0163,Is sectioned slice of the liver intact in both?
test_0065,Is part of the oesophagus which is normally lined by squamous epithelium also seen?
test_0582,Is endocrine present?
test_0187,"Does the high-power view show failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?"
test_0532,Is side showing patency right side present?
test_0807,Is male Reproductive present?
test_0181,"Is the atrium dilated,  reflecting long-standing valvular insufficiency and volume overload?"
test_0064,"Are large parts of the lung parenchyma replaced by multiple, variable-sized, circumscribed nodular masses which are grey-white in colour?"
test_0572,Does hemorrhage associated with placental abruption show hashimoto 's thyroiditis?
test_0632,"Does muscle show kidney, adult polycystic kidney?"
test_0022,Is a solitary hypercellular adenoma delineated from the residual normocellular gland on the upper right in this low-power view?
test_0188,"Does the nucleus cast in the tubular lumina, and in the arterial wall producing luminal narrowing?"
test_0028,Does the lumen contain necrotic debris?
test_0874,Is abdomen present?
test_0945,Is eye present?
test_0626,Are extremities present?
test_0423,"Does this image show lung, pulmonary edema and focal pneumonitis?"
test_0154,Is the dead cell seen in singles?
test_0752,Is Histoplasmosis present?
test_0547,"Does this image show kidney, renal papillary necrosis, acute?"
test_0546,Is kidney present?
test_0160,Is microscopic view of breast carcinoma yellow and thickened?
test_0587,Does this image show fixed tissue saggital section of organ with bosselated myoma?
test_0013,Does a fibrous capsule surround the neoplastic follicles?
test_0970,Is cardiovascular present?
test_0673,Is exact cause present?
test_0761,Is chromophobe adenoma present?
test_0309,Is the serial numbers in the figure base on size and location of centromere?
test_0426,Is chronic myelogenous leukemia in blast crisis present?
test_0676,Is 70yof present?
test_0060,Do the glomeruli show periglomerular fibrosis?
test_0837,Is large cell lymphoma present?
test_0611,Are renal polycystic disease legs too short?
test_0640,"Does this image show squamous metaplasia, renal pelvis due to nephrolithiasis?"
test_0630,Are nodules present?
test_0913,Is myelomonocytic leukemia present?
test_0245,Is Ewing sarcoma composed of sheets of small round cells with small amounts of clear cytoplasm?
test_0250,Has a nucleolar pattern been termed cystic hygroma?
test_0974,"Does spina bifida show leg veins, thrombus?"
test_0884,"Does this image show congestive heart failure, three vessel coronary artery disease?"
test_0210,Is the surrounding zone extensive in the space of Disse causing compression and pressure atrophy of hepatocytes?
test_0799,Does mucicarmine show acute pancreatitis?
test_0250,"Are the light green polypeptides characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?"
test_0189,"Is necrotic debris,  present in the gland lumen,  typical?"
test_0938,"Does thyroid show liver and spleen, congestion, hemolytic disease of newborn?"
test_0972,Is this typical lesion present?
test_0896,Does this image show thermal burned skin?
test_0968,"Does this image show acute inflammation, rolling leukocytes polymorphonuclear neutrophils?"
test_0041,Does advanced organizing pneumonia  feature transformation of exudates to fibromyxoid masses infiltrated by macrophages and fibroblasts?
test_0110,Is there narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in its core?
test_0160,"Was subacute endocarditis from a patient with ACTH-dependent Cushing syndrome,  in whom both adrenal glands were diffusely hyperplastic?"
test_0493,Does this image show proximal tubule and fenestrated capillary can be used to illustrate capillary epithelial cell relations and functions?
test_0757,Is bone marrow present?
test_0498,"Does this image show stress ulcers, stomach?"
test_0505,Is gastrointestinal present?
test_0254,Does the background aspirate show micronormoblastic erythropoiesis?
test_0463,Does lymphangiomatosis generalized show lymphocytic infiltrate on peritoneal surface?
test_0687,Is hematologic present?
test_0970,"Does this image show heart, fibrosis, chronic rheumatic heart disease?"
test_0728,"Does this image show tongue, herpes ulcer?"
test_0861,Is coronary artery present?
test_0619,Is hand present?
test_0210,Does m phase show congophilia which under polarising microscopy?
test_0843,Is 4 month old child several slides from this case well shown?
test_0969,Does lesion of myocytolysis show saphenous vein graft sclerosis?
test_0457,Does this image show adrenal phaeochromocytoma?
