image,question
test_0988,What is present?
test_0863,Where is this?
test_0183,"Reticulin framework left out in whose place , high lighted by reticulin stain ?"
test_0472,Where is this from?
test_0364,Where is this?
test_0252,What shows ghostal veoli filled with blood?
test_0028,What contains necrotic debris?
test_0869,"How does this image show heart, old myocardial infarction?"
test_0982,What is present ?
test_0307,Do left side lose their cell membrane further during passage through the spleen?
test_0673,What is present?
test_0692,Where is this?
test_0383,What has basal skull fracture chronic subdural hematoma malignant lymphoma and acute myelogenous leukemia?
test_0683,Where is this part in?
test_0023,What are hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?
test_0451,What does this image show?
test_0508,What is present?
test_0426,What does this image show?
test_0626,What is present ?
test_0059,What does the upper pole of the kidney show?
test_0386,What associated with tuberous sclerosis ?
test_0985,What is present?
test_0990,What is present ?
test_0548,Where is this?
test_0950,What is present?
test_0236,What at around 7th day results in scar tissue at the sites of incision and suture track?
test_0157,"What are there of collapsed and dilated alveolar spaces, many of which are lined by eosinophilic hyaline membranes?"
test_0925,"Does cortical nodule show liver, cirrhosis alpha-1 antitrypsin deficiency?"
test_0036,What does Inbox in the right photomicrograph show?
test_0681,How does this image show external view?
test_0648,Where is this?
test_0376,What is present?
test_0306,What compress the urethra into a slitlike lumen?
test_0420,What is present?
test_0748,What is present ?
test_0612,How does this image show childs hands?
test_0556,What does this image show?
test_0108,What is part of the endocervical mucosa lined by?
test_0307,What do these rigid spherical cells lose?
test_0847,What appear too short ?
test_0605,Where does this part belong to?
test_0123,How does inbox in the right photomicrograph show a scolex?
test_0575,What has folds?
test_0682,What is present?
test_0225,What shows non-specific chronic inflammation and proliferating vessels?
test_0842,What does this image show?
test_0106,Why is the bone expanded?
test_0767,What is present?
test_0452,What is present ?
test_0745,What is present ?
test_0654,What is present?
test_0063,Are the alveoli and respiratory bronchioles surrounding the coal macule distended?
test_0214,"Is the affected part soft, swollen and dark?"
test_0618,What are present ?
test_0076,How does microscopy show characteristic lining of the cyst wall?
test_0183,"What is there with only collapsed reticulin framework left out in their place, high lighted by reticulin stain right photomicrograph?"
test_0100,Where is the pacemaker?
test_0388,What is present ?
test_0910,What do close-up view pale?
test_0066,What is multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?
test_0550,What does this image show?
test_0615,What is present ?
test_0899,What does this image show?
test_0088,What is there?
test_0855,What does this image show?
test_0116,What shows presence of numerous arthrospores and hyphae?
test_0481,What is present?
test_0268,How does the sectioned surface show dark tan firm areas?
test_0457,What is present?
test_0688,What does this image show?
test_0587,Where does this belong to?
test_0210,What shows apple-green birefringence?
test_0476,Where is this area in the body?
test_0248,What does the inset on right side of each type show?
test_0910,What does this image show?
test_0591,What does this image show?
test_0868,What is present?
test_0762,What is present ?
test_0746,What is present ?
test_0648,What does this image show?
test_0701,Where is this?
test_0544,What is present?
test_0681,What is present ?
test_0265,"What shows mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?"
test_0511,Where does this belong to?
test_0735,What is present ?
test_0309,What is based on size and location of centromere?
test_0281,What are seen?
test_0507,What is present?
test_0881,What is present?
test_0198,"Are the histological features present: transmural chronic inflammatory cell infiltration, deep fissures into the bowel wall, submucosal widening due to oedema, some prominent lymphoid follicles and a few non-caseating epithelioid cell granulomas in the bowel wall?"
test_0603,What is present?
test_0280,What do peripheral blood film show?
test_0451,Where does this belong to?
test_0594,What is present?
test_0749,Does this image show good example can tell even at this what the tumor is?
test_0211,What stained red-pink Congophilia?
test_0069,What show superficial invasive islands of malignant cells in the subepithelial soft tissues?
test_0469,Where is this from?
test_0418,What is present?
test_0569,Where is this part in the figure?
test_0287,What shows presence of loculi containing gelatinous mucoid material?
test_0202,What are super-imposed on advanced atherosclerotic lesions of the more proximal aorta (left side of photograph)?
test_0687,What is present ?
test_0595,What is present?
test_0214,"What is soft, swollen and dark?"
test_0012,What contain psammoma bodies?
test_0942,What does this image show?
test_0586,What is present?
test_0534,What does this image show?
test_0833,What is present?
test_0984,What was taken?
test_0225,Where is the affected area?
test_0748,Where is this from?
test_0220,What is marked at the line of demarcation between the infarcted and normal bowel?
test_0674,What does this image show?
test_0938,What is present?
test_0297,What show typical coagulative necrosis?
test_0027,What is seen on the posterior aspect (lower left)?
test_0678,What entered into this file as normal discs slide ?
test_0598,What is present?
test_0601,Where does this part belong to?
test_0577,What is present?
test_0475,What is present?
test_0052,By whose multicentricity are metastatic lesions distinguished grossly from most primary central nervous system tumors?
test_0652,What does this image show?
test_0455,What is present?
test_0197,Does the external surface of small intestine show stricture and a lymph node in section having caseation necrosiss?
test_0677,What is present ?
test_0683,What is present ?
test_0685,What is present?
test_0453,What is present ?
test_0551,What is present?
test_0495,What is present?
test_0207,What are present within the colon wall?
test_0611,What does this image show?
test_0446,What does this image show?
test_0693,What does this image show?
test_0621,What are present?
test_0487,What is present?
test_0390,What is present?
test_0069,Do a few areas show superficial invasive islands of malignant cells in the subepithelial soft tissues?
test_0678,Where is marrow in?
test_0989,"What is vasculitis , rocky mountain spotted?"
test_0256,"What shows scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?"
test_0356,What does this image show?
test_0676,Where is this part in?
test_0188,What are also present in peritubular connective tissue producing atrophic tubules?
test_0285,Are the cells still recognisable as of transitional origin and show features of anaplasia?
test_0228,What shows uniform cells having high mitotic rate?
test_0239,What is the immediate reaction characterized by?
test_0486,What is present?
test_0872,Where is this?
test_0197,What does the external surface of small intestine show?
test_0417,What is present?
test_0023,"What include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?"
test_0857,What does this image show?
test_0502,What is present ?
test_0123,What does inbox in the right photomicrograph show?
test_0742,Where is this from?
test_0965,What is present?
test_0585,What is present?
test_0256,What did high-power view of the junction of the fibrous cap and core show?
test_0873,What does this image show?
test_0707,"Does edema show pancreatic islet, amyloidosis diabetes mellitus, congo red stain?"
test_0609,What are seen?
test_0546,What is present?
test_0869,What is present?
test_0107,What represents cell cycle for stable cells?
test_0100,What is concentric thickening of the left ventricular wall causing?
test_0294,What does the smear show?
test_0687,Where is this part in?
test_0197,What shows characteristic transverse ulcers and two strictures?
test_0593,What is present ?
test_0461,What is carcinoma had?
test_0935,What is present ?
test_0499,What is present ?
test_0479,What is nodular tumor cut?
test_0753,Do med wrights stain many pleomorphic blast cells readily seen?
test_0521,What does this image show?
test_0876,Where is this?
test_0732,Where is this from?
test_0427,What does this image show?
test_0508,Where does this belong to?
test_0011,What shows mild fatty change of liver cells?
test_0307,What lose their cell membrane further during passage through the spleen?
test_0757,What is present?
test_0572,What is present ?
test_0360,What stain?
test_0384,What do lateral view of infants head?
test_0461,What does this image show?
test_0304,Do histologic features of the chancre contain abundant pink colloid within their lumina?
test_0952,What does this image show?
test_0911,What is present?
test_0459,What is present?
test_0587,What is present ?
test_0187,"What shows failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?"
test_0285,"Are uclear features of malignant cells in malignant melanoma-pleomorphism, anisonucleosis, still recognisable as of transitional origin and show features of anaplasia?"
test_0607,What is present ?
test_0574,What is present ?
test_0118,What are nodular masses of calcium heaped up within?
test_0307,What result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?
test_0927,What is present?
test_0060,What included are thick-walled?
test_0170,What shows trabeculae with osteoclastic activity at the margins?
test_0014,What consists of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?
test_0643,Where is this?
test_0285,What are still recognisable as of transitional origin and show features of anaplasia?
test_0461,What is fibrotic lesion said?
test_0284,What is derived from calcitonin molecules secreted by the neoplastic cells?
test_0300,"What remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?"
test_0182,What is shown in longitudinal section along with a segment in cross section?
test_0442,What is present ?
test_0585,What does this image show?
test_0036,What shows PAS positive tumour cells in perivascular location?
test_0579,What is present?
test_0040,What are the alveoli filled with?
test_0488,What is present?
test_0478,What is present?
test_0067,What shows a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?
test_0873,What is present ?
test_0028,What does the lumen contain?
test_0562,What does this image show?
test_0531,What is present?
test_0373,What does this image show?
test_0236,Does removal of suture result around 7th day result in scar tissue at the sites of incision and suture track?
test_0683,What is present?
test_0967,What is present ?
test_0458,What is present?
test_0170,What does the cortical bone forming the outer shell show?
test_0480,Does acute lymphocytic leukemia show opened muscle probably psoas natural color large ovoid typical sarcoma?
test_0505,What is present?
test_0268,What does the sectioned surface show with?
test_0595,What is present ?
test_0268,What shows dark tan firm areas with base on the pleura?
test_0603,Where does this belong to?
test_0172,How much does the liver weigh?
test_0684,What is present ?
test_0425,What does this image show?
test_0852,What is present ?
test_0461,"What said to be undifferentiated carcinoma had metastases to lungs, pleura, liver and regional nodes 70yof also had colon carcinoma?"
test_0848,What is present ?
test_0153,Are there non-caseating epithelioid cell granulomas which have paucity of lymphocytes?
test_0300,What do only a few areas of pale squamous mucosa remain within?
test_0053,What contains progressively less rna and more haemoglobin?
test_0905,How is sectioned femur lesion distal end  example?
test_0461,"What had metastases to lungs , pleura , liver and regional nodes ?"
test_0590,Where does this part belong to?
test_0860,What is present ?
test_0013,What surrounds the neoplastic follicles?
test_0012,What do some of the whorls contain?
test_0887,What does this image show?
test_0754,What is present ?
test_0704,"Why does this image show pancreas, thrombi and hemorrhage?"
test_0479,What is present?
test_0883,Where is this?
test_0134,"The particle has core containing proteins, p24 and p18, how many strands of viral rna, and enzyme reverse transcriptase?"
test_0154,What has clumped chromatin?
test_0736,Where is this from?
test_0857,Does subdiaphragmatic abscess show view of face and chest anterior?
test_0894,What is present?
