img_name,question
xmlab529/source.jpg,Is this a coronal section?
xmlab495/source.jpg,Is this a coronal plane?
xmlab93/source.jpg,Does the picture contain heart?
xmlab219/source.jpg,Does the picture contain spleen?
xmlab77/source.jpg,Is the brain healthy?
xmlab385/source.jpg,Is this a study of the head?
xmlab580/source.jpg,Does the picture contain stomach?
xmlab252/source.jpg,"Which is bigger in this image, kidney or spleen?"
xmlab103/source.jpg,Does the picture contain lung?
xmlab93/source.jpg,Does the picture contain lung?
xmlab49/source.jpg,Does the brain look abnormal?
xmlab378/source.jpg,Can infiltration be observed on the lower left lung in this picture?
xmlab469/source.jpg,Is the abnormality hyperdense or hypodense?
xmlab320/source.jpg,Is this image normal?
xmlab634/source.jpg,Is there spinal cord in this picture?
xmlab152/source.jpg,Are there abnormalities in this image?
xmlab269/source.jpg,Does the picture contain liver?
xmlab105/source.jpg,Does the picture contain liver?
xmlab401/source.jpg,Does the temporal lobe appear in this image?
xmlab350/source.jpg,Is this an MRI scan?
xmlab312/source.jpg,Is this image normal?
xmlab314/source.jpg,Is this image taken via X-Ray?
xmlab208/source.jpg,Is the liver healthy?
xmlab93/source.jpg,Does the picture contain lung?
xmlab58/source.jpg,Is the brain healthy?
xmlab361/source.jpg,Is this image taken via X-Ray?
xmlab385/source.jpg,Does the patient have any abnormalities?
xmlab357/source.jpg,Is this a X-Ray?
xmlab93/source.jpg,Does the picture contain lung?
xmlab93/source.jpg,Does the picture contain heart?
xmlab386/source.jpg,Is this image normal?
xmlab428/source.jpg,Does the ears exist in this picture?
xmlab605/source.jpg,Is this a coronal section?
xmlab93/source.jpg,Does the picture contain heart?
xmlab93/source.jpg,Does the picture contain lung?
xmlab219/source.jpg,Does the picture contain spleen?
xmlab169/source.jpg,Does this image look normal?
xmlab219/source.jpg,"Which is the biggest in this image, lung,heart or liver?"
xmlab90/source.jpg,Does the picture contain lung?
xmlab93/source.jpg,Does the picture contain heart?
xmlab25/source.jpg,Does the picture contain liver?
xmlab357/source.jpg,Are there abnormalities in this image?
xmlab13/source.jpg,Is there any abnormality in the spleen?
xmlab634/source.jpg,Is this a coronal plane?
